Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
2240,1067.3,279.737,1008.26,182.292,28.1233,13.2715,66.3267,14.6785
2250,1078.81,283.195,970.81,159.965,26.1567,14.0195,72.4767,42.3265
2260,1026.58,161.27,1018.36,228.34,26.03,6.43102,73.8,45.5701
2270,1125.99,301.454,1085.13,324.035,27.58,10.5876,68.2867,16.5024
2280,1143.7,277.233,1215.6,344.924,35.88,21.5979,78.56,29.7348
2290,1202.39,367.143,1051.53,236.922,25.91,5.00175,66.2467,9.08309
2300,1224.12,392.564,1040.68,184.717,29.7933,20.9507,70.14,17.9941
2310,1191.21,313.091,1079.99,215.877,32.7867,14.8303,69.5533,12.2828
2320,1265.04,421.13,1267.89,495.331,28.5567,8.96825,67.5233,8.72704
2330,1191.68,306.39,1151.25,274.781,28.6967,9.38783,75.08,44.771
2340,1144.35,301.085,1165.53,291.883,27.9833,9.3516,69.34,13.6892
2350,1265.61,462.55,1220.24,384.461,29.6367,10.8286,71.8533,14.8372
2360,1384.57,460.525,1346.35,433.435,34.4467,13.3766,74.51,11.1161
2370,1181.26,274.048,1346.87,463.588,32.1433,12.8907,76.6633,27.2213
2380,1269.11,358.145,1221.62,318.891,32.93,15.1435,73.45,16.1513
2390,1252.62,340.124,1211.53,237.406,31.52,11.9793,74.95,19.0324
2400,1205.21,270.183,1173.38,285.102,28.8233,7.84214,80.5633,49.5572
2410,1225.79,262.15,1080.58,149.903,27.9067,5.92999,68.4633,7.07845
2420,1154.72,172.268,1121.36,197.466,27.54,7.54319,67.44,6.46996
2430,1347.13,338.518,1135.19,171.15,26.17,4.03999,70.58,19.5001
2440,1148.78,173.965,1163.74,208.698,28.64,7.66612,71.0267,8.89901
2450,1290.36,322.895,1284.56,414.19,36.5933,26.853,74.0667,13.4815
2460,1430.98,506.858,1249.11,330.319,28.0667,6.59176,70.08,8.57367
2470,1274.94,322.897,1205.66,218.771,28.1533,5.82235,70.6067,7.69361
2480,1264.56,304.995,1257.16,292.154,27.5933,5.27322,69.5533,6.43046
2490,1252.57,308.043,1258.56,246.264,29.4433,8.71866,74.82,16.743
2500,1211.16,172.258,1175.68,181.021,27.56,5.47588,71.8433,8.39654
2510,1256.4,207.51,1175.81,156.261,28.0133,6.23067,71.6367,8.28216
2520,1204.3,173.163,1173.53,182.926,25.95,1.37056,69.9033,6.37141
2530,1362.35,337.179,1290.56,320.072,28.9467,6.41382,71.9133,8.6563
2540,1356.86,320.28,1251.4,192.726,30.83,9.70557,75.3733,13.0656
2550,1279.36,213.158,1296.56,233.17,29.2733,6.68972,74.69,13.5042
2560,1330.13,209.595,1255,228.477,31.9033,12.8254,77.6467,20.7276
2570,1318.85,242.763,1228.62,156.395,30.4067,9.21011,75.78,8.76263
2580,1386.03,262.969,1272.48,246.714,28.6833,5.65832,73.1967,8.94128
2590,1315.6,158.437,1325.82,231.485,29.22,5.36588,76.3,9.59454
2600,1401.82,262.922,1366.96,277.991,34.9433,15.8729,87.2333,34.8947
2610,1369.92,279.813,1401.2,358.574,33.6733,11.6181,81.32,20.3181
2620,1620.04,542.58,1510.19,457.283,33.6433,9.49652,82.4667,17.1948
2630,1444.61,363.655,1340.32,225.164,29.01,4.52223,75.2167,13.4983
2640,1447.86,326.78,1408.04,252.862,34.9467,11.4263,78.6333,12.5389
2650,1715.07,556.107,1758.27,575.709,36.47,14.2409,86.5667,21.258
2660,1488.71,415.029,1455.87,344.347,34.9933,15.7039,78.88,10.8558
2670,1369.42,168.629,1364.35,239.467,30.6633,6.63447,76.0833,6.5118
2680,1417.34,194.03,1378.77,190.758,30.0433,6.20276,78.73,13.1024
2690,1472.64,302.838,1475.88,298.562,31.9033,7.59421,79.7633,14.2998
2700,1500.24,302.509,1504.31,453.708,30.6867,5.26817,78.1033,7.09091
2710,1508.76,228.149,1501.12,320.012,39.4633,38.4504,81.8367,13.627
2720,1645.11,452.635,1500.69,309,38.5833,18.9596,87.04,27.2229
2730,1559.89,394.369,1660.57,435.693,36.67,14.9247,82.8367,11.7616
2740,1530.54,322.302,1467.04,243.852,30.4133,6.12962,77.0733,7.10429
2750,1648.34,389.546,1466.88,223.006,30.4667,4.97825,77.7133,6.70788
2760,1587.24,266.966,1532.32,303.176,39.36,36.4355,86.5933,29.8349
2770,1659.63,330.527,1587.76,370.321,38.53,21.034,89.4767,32.1411
2780,1620.58,327.384,1694.34,476.66,33.6233,7.329,80.8567,8.07054
2790,2134.78,1355.29,1907.88,743.432,50.6567,58.7354,106.683,78.8678
2800,1539.97,213.349,1526.8,262.157,34.6167,10.0687,83.27,12.7075
2810,1628.07,337.499,1520.29,287.434,32.5433,7.83769,80.8433,10.0474
2820,1546.16,200.851,1592.24,288.847,31.4833,6.00592,80.8567,10.0567
2830,1604.05,244.059,1560.36,236.231,35.8467,14.6997,89.5567,33.021
2840,1589.15,309.92,1556.09,264.048,31.83,5.74127,82.2167,12.9058
2850,1638.27,309.342,1646.66,384.179,30.8267,4.50815,80.97,20.3038
