Size,First,Last,Middle,Random
4480,6223.63,18596,92.1667,280.6
4490,6379.6,18949,82.7667,266.233
4500,6852.1,20319.9,88.3,264.8
4510,6756.2,20331.6,86.4667,257.1
4520,6445.87,19409.7,82,276.7
4530,6266.27,19105.1,80.7333,255.067
4540,6294.77,18598.8,98.2333,306.467
4550,6580.17,19896,85.1,264.233
4560,6767.03,20537.9,98.9,311.7
4570,6705.33,20723.3,100.867,287.333
4580,6578.13,19706.1,93.2,296.7
4590,6654.7,20599.9,83.7333,270.633
4600,7069.5,20256.3,108.4,289.567
4610,6781.3,19650.5,97.9,304.333
4620,6751.93,20476.3,84.9,278.433
4630,6932.77,21282,94.9333,302.067
4640,6823.03,20820.1,95,286.333
4650,7053.53,21526.8,87.0333,289.333
4660,6996,21565.7,88.6,302.267
4670,6994.7,20867.2,106.067,314.767
4680,7113,21753,92.4,305.967
4690,6726.27,20272.9,86.4,290.8
4700,7523.87,22529,92.7667,311.933
4710,6841.13,20804.3,97.4,304.567
4720,7350.7,20798,92.0333,302.6
4730,7185.97,20761.9,91.5667,302.367
4740,7601.97,22331.9,96.6,279.767
4750,7353.07,21746.6,79.9333,293.033
4760,7613.2,21935,90.2333,298.367
4770,7205.13,21297.5,87.6333,288.967
4780,7027.9,21262.7,92.1333,295.633
4790,7543.23,22416.8,86.4667,311.5
4800,7889.6,22151.1,102.733,310.767
4810,7624.7,22495.4,99.0333,321.967
4820,7845.23,22669.1,92.9,288.633
4830,7871.63,24036.9,109,333.833
4840,7758.57,22423.9,109.667,306.4
4850,7556.2,22898.7,92.7,302.233
4860,7355.33,22539.7,96.1333,301.533
4870,8181.83,25783.3,107.967,321.433
4880,7793.9,22770.9,103.867,313.667
4890,7573.9,22899.9,104.9,316.267
4900,5103.37,15350.9,72.1667,205.033
4910,7504.37,23069.2,90.7333,281.567
4920,7521.93,22334.2,102,306.067
4930,8293.73,25585.2,102.633,306.6
4940,7562.17,22796.7,93.5667,283.333
4950,7595.43,22796.7,97.9,306.3
4960,7953.87,23108.4,88.6667,280.833
4970,7937.7,22957.7,86.2333,297.1
4980,8018.73,24285.8,98,297.133
4990,8369.17,24933.1,102.333,331.4
5000,7929.7,23942,98.8333,312.1
